DATEAPRECV,DCSTAT,KEYVAL,OBJECTID,PROPOSAL,REFVAL,PROPNO,CREATEDBY,MODIFIEDBY,DATE_CREATED,DATE_MODIFIED,STATUS,TRANSACTION_TYPE,SYMBOL,MAP_AREA,X,Y,DECSN,OFFCODE,DCAPPTYP,DCAREATM,DATEAPVAL,MAP_X,MAP_Y,LATITUDE,LONGITUDE,SE_ANNO_CAD_DATA,DCPREAPP
2025/02/28 00:00:00+00,PDE,SSEKKLSJLSF00,12608935,Certificate of lawfulness for use as House in Multiple Occupation (use class C4) with 6 occupants.,25/00417/CLU,00016ZSJBU000,jbarnettDCDC,jbarnettDCDC,2025/03/03 09:05:29+00,2025/03/03 09:05:29+00,1,NONE,1,498.26373108,458957,451035,,LWARSA,CLU,WEST,2025/03/25 00:00:00+00,458957,451035,53.9520617354924,-1.10310832200018,,F
2025/02/28 00:00:00+00,PER,SSEC93SJLSA00,12608943,Display of 2no. illuminated fascia signs,25/00416/ADV,N2F49VSJ05Y00,lharrisonDC2,lharrisonDC2,2025/02/28 15:23:48+00,2025/02/28 15:23:48+00,1,NONE,1,767.13429289,458982,455541,PER,TSCARS,ADV,WEST,2025/03/17 00:00:00+00,458981.55215972,455540.99147239,53.9925524353758,-1.10186411291293,,F
2025/02/28 00:00:00+00,HAPP,SSEKL0SJLSH00,12608944,"Single storey rear extension, first floor rear extension",25/00418/FUL,001J7SSJBU000,jbarnettDCDC,jbarnettDCDC,2025/03/03 09:30:26+00,2025/03/03 09:30:26+00,1,NONE,1,182.54251314,460854,451001,HAPP,SFRANC,FUL,EAST,2025/03/03 00:00:00+00,460854,451001,53.9515370010983,-1.07421293756445,,F
2025/03/03 00:00:00+00,HAPP,SSJFLLSJLSQ00,12608945,"Single storey rear extension, dormer extension and roof light to rear roofslope",25/00420/FUL,000BEFSJBU000,jbarnettDCDC,jbarnettDCDC,2025/03/03 09:49:52+00,2025/03/03 09:49:52+00,1,NONE,1,226.58657261,460152,450618,HAPP,LWARSA,FUL,WEST,2025/03/04 00:00:00+00,460152,450618,53.9481770642376,-1.08498361420202,,F
2025/02/12 00:00:00+00,NOB,SRO1FLSJ0GB00,12626935,Fell 1no. Lime tree in a Conservation Area,25/00280/TCA,0001AVSJBU000,lharrisonDC2,lharrisonDC2,2025/02/14 09:15:40+00,2025/02/14 09:15:40+00,1,NONE,1,311.5816715,460743,455788,NOB,MSTUBB,TCA,EAST,2025/02/12 00:00:00+00,460743.06025134,455788.47563994,53.9945727593645,-1.07495096127992,,F
2025/02/12 00:00:00+00,NOB,SRO2UISJ0FL00,12649833,Crown lift and prune 5no. Trees in a Conservation Area,25/00281/TCA,IETUKCSJ20000,jbarnettDCDC,jbarnettDCDC,2025/02/14 09:52:35+00,2025/02/14 09:52:35+00,1,NONE,1,338.09808151,458774,451312,NOB,MSTUBB,TCA,GREEN,2025/02/12 00:00:00+00,458774,451312,53.9545718082502,-1.10584323721221,,F
2025/02/13 00:00:00+00,REF,SRMSNISJLJQ00,12649834,Erection of 5no. dwellings after demolition of workshop,25/00278/FUL,0021AWSJBU000,jbarnettDCDC,jbarnettDCDC,2025/02/14 10:41:13+00,2025/02/14 10:41:13+00,1,NONE,1,2224.15765208,462423,456213,REF,LCRIPP,FUL,EAST,2025/02/14 00:00:00+00,462423,456213,53.9981878462599,-1.04924310263385,,F
2025/04/15 00:00:00+00,NOB,SUUQ2MSJ0FL00,12649835,Fell group of Ash - trees in a conservation area,25/00804/TCA,I0FKEUSJ20000,jbarnettDC2,jbarnettDC2,2025/04/17 07:41:24+00,2025/04/17 07:41:24+00,1,NONE,1,438.581469,462062,451392,NOB,MSTUBB,TCA,GREEN,2025/04/15 00:00:00+00,462061.96828675,451391.74154161,53.954905202158,-1.05572970351311,,F
2025/04/16 00:00:00+00,HAPP,SUTJ62SJMHH00,12649836,Installation of an Air Source Heat Pump to rear,25/00802/FUL,001B8ESJBU000,lharrisonDC2,lharrisonDC2,2025/04/17 09:43:18+00,2025/04/17 09:43:18+00,1,NONE,1,176.10670154,457380,450793,HAPP,LWARSA,FUL,WEST,2025/04/17 00:00:00+00,457380.41367664,450793.00036512,53.9500638409679,-1.12717443143184,,F
2025/02/12 00:00:00+00,NOC,SRO4E1SJ0GB00,12649837,Reduce canopy height and spread by approximately 2.4 metres to 1no. Horse Chestnut tree- Crown lift to 5 metres - protected by Tree Preservation Order no. 173/1991,25/00282/TPO,0001X4SJBU000,lharrisonDCDC,lharrisonDCDC,2025/02/14 10:19:16+00,2025/02/14 10:19:16+00,1,NONE,1,420.34846224,458045,454251,NOC,MSTUBB,TPO,GREEN,2025/02/12 00:00:00+00,458045,454251,53.9810656492858,-1.1163924883747,,F
